000307108,
000360206,AAON
000361105,AIR
000375204,ABB
00081T108,ACCO
000868109,ACNB
000957100,ABM
001031103,
001055102,AFL
001084102,AGCO
001228105,MITT
00123Q104,AGNC
001282102,
00130H105,AES
001547108,
001627108,ALJJ
00162Q106,RDOG
00162Q205,EQL
00162Q510,RFFC
00162Q528,RFDA
00162Q536,RFCI
00162Q544,
00162Q593,SBIO
00162Q643,SGDM
00162Q718,IDOG
00162Q726,BFOR
00162Q734,
00162Q783,RIGS
00162Q858,SDOG
00162Q866,AMLP
00163U106,
00164V103,AMCX
00165C104,AMC
00167X205,
001744101,AMN
00182C103,ANIP
00191G103,ARC
00206R102,T
00211V106,3IZ.SG
002121101,ATEN
00213H105,ARCW
00214Q104,ARKK
00214Q203,ARKQ
00214Q302,ARKG
00214Q401,ARKW
00215F107,ATNI
002255107,AUOTY
00234P102,
002444107,
002474104,AZZ
002535300,AAN
002567105,
002824100,ABT
00287Y109,ABBV
002896207,ANF
003009107,FAX
003011103,IAF
003013109,FCO
00301L109,
00301T102,
00306J109,JEQ
00306K106,
003244100,
003654100,
003830106,AXAS
003881307,ACTG
004006508,
00400R874,
00400R882,
00401C108,
00404A109,ACHC
004225108,ACAD
004239109,AKR
00430H102,AXDX
00430K402,ACST.V
004337101,
00434H108,0A3.SG
004397105,ARAY
004446100,
00444T100,
00448Q201,
004498101,ACIW
00461U105,ACRS
00484M106,ACOR
00507V109,ATVI
00507W107,ATNM
00508X203,EPAC
00508Y102,AYI
005094107,
005098108,GOLF
005125109,
00548A106,
00548F105,PEO
006212104,ADX
006351308,AE
006739106,ADUS
006855100,
00724F101,ADBE
00738A106,
00739L101,
00751Y106,AAP
00756M404,
007624208,
00762W107,
007639107,
00764C109,AVK
00765E104,
00765F101,
00766T100,ACM
00768Y206,AADR
00768Y503,HYLD
00768Y594,FLRT
00768Y628,
00768Y727,MINC
00768Y768,VEGA
00768Y800,
00768Y818,SURE
00768Y826,
00768Y834,
00768Y859,
00768Y883,HDGE
00770F104,
00771V108,
00773T101,ASIX
00773U108,ADVM
007786106,HIVE
007800105,AJRD
00782L107,
007903107,AMD
00790R104,WMS
00790X101,
007924103,AEG
007973100,AEIS
007975402,
008073108,AVAV
00808N202,
00817Y108,
008252108,AMG
00835P105,
00846U101,A
008474108,AEM
00847G705,AGEN
00847J105,AGYS
00847L100,AGRX
00847X104,AGIO
008492100,ADC
00856G109,AGFS
008916108,
00900T107,
009128307,
00912X302,AL
00912XAK0,
009158106,APD
00922R105,ATSG
00971T101,AKAM
009728106,
00972D105,AKBA
00972G108,AKTX
00973E102,
011311107,ALG
011532108,AGI.TO
011642105,ALRM
